label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
eosi,271,245,102,94,lisc_eosi_1.jpg,720,576
eosi,333,520,93,56,lisc_eosi_10.jpg,720,576
eosi,337,117,101,100,lisc_eosi_100.jpg,720,576
eosi,283,356,97,98,lisc_eosi_101.jpg,720,576
eosi,179,184,85,83,lisc_eosi_102.jpg,720,576
eosi,260,165,88,102,lisc_eosi_103.jpg,720,576
eosi,376,307,80,105,lisc_eosi_104.jpg,720,576
eosi,379,191,104,83,lisc_eosi_105.jpg,720,576
eosi,240,301,99,81,lisc_eosi_106.jpg,720,576
eosi,433,316,105,107,lisc_eosi_107.jpg,720,576
eosi,182,147,101,111,lisc_eosi_108.jpg,720,576
eosi,219,354,114,108,lisc_eosi_109.jpg,720,576
eosi,300,0,88,54,lisc_eosi_11.jpg,720,576
eosi,388,104,111,113,lisc_eosi_110.jpg,720,576
eosi,324,151,90,92,lisc_eosi_111.jpg,720,576
eosi,305,328,82,91,lisc_eosi_112.jpg,720,576
eosi,458,309,82,85,lisc_eosi_113.jpg,720,576
eosi,398,252,94,88,lisc_eosi_114.jpg,720,576
eosi,225,233,91,90,lisc_eosi_115.jpg,720,576
eosi,19,147,89,103,lisc_eosi_116.jpg,720,576
eosi,609,322,85,101,lisc_eosi_117.jpg,720,576
eosi,392,0,108,37,lisc_eosi_118.jpg,720,576
eosi,216,535,110,41,lisc_eosi_119.jpg,720,576
eosi,50,261,83,94,lisc_eosi_12.jpg,720,576
eosi,171,232,80,88,lisc_eosi_120.jpg,720,576
eosi,302,393,89,82,lisc_eosi_121.jpg,720,576
eosi,327,98,88,81,lisc_eosi_122.jpg,720,576
eosi,25,279,93,104,lisc_eosi_123.jpg,720,576
eosi,378,107,86,82,lisc_eosi_124.jpg,720,576
eosi,258,363,96,99,lisc_eosi_125.jpg,720,576
eosi,366,111,96,93,lisc_eosi_126.jpg,720,576
eosi,180,187,99,91,lisc_eosi_127.jpg,720,576
eosi,439,294,98,98,lisc_eosi_128.jpg,720,576
eosi,222,146,98,97,lisc_eosi_129.jpg,720,576
eosi,333,78,108,94,lisc_eosi_13.jpg,720,576
eosi,399,330,94,99,lisc_eosi_130.jpg,720,576
eosi,398,149,104,98,lisc_eosi_131.jpg,720,576
eosi,217,331,101,88,lisc_eosi_132.jpg,720,576
eosi,331,123,81,87,lisc_eosi_133.jpg,720,576
eosi,308,365,76,85,lisc_eosi_134.jpg,720,576
eosi,249,383,91,84,lisc_eosi_135.jpg,720,576
