label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
lymp,569,248,79,74,lisc_lymp_1.jpg,720,576
lymp,397,547,79,29,lisc_lymp_10.jpg,720,576
lymp,235,15,68,72,lisc_lymp_100.jpg,720,576
lymp,297,525,58,46,lisc_lymp_101.jpg,720,576
lymp,89,341,66,70,lisc_lymp_102.jpg,720,576
lymp,559,159,72,72,lisc_lymp_103.jpg,720,576
lymp,564,339,87,93,lisc_lymp_104.jpg,720,576
lymp,69,144,91,91,lisc_lymp_105.jpg,720,576
lymp,526,237,53,45,lisc_lymp_105.jpg,720,576
lymp,222,490,89,82,lisc_lymp_106.jpg,720,576
lymp,307,66,51,55,lisc_lymp_106.jpg,720,576
lymp,407,2,95,78,lisc_lymp_107.jpg,720,576
lymp,357,455,56,53,lisc_lymp_107.jpg,720,576
lymp,505,243,61,60,lisc_lymp_108.jpg,720,576
lymp,154,276,62,56,lisc_lymp_109.jpg,720,576
lymp,231,170,73,70,lisc_lymp_11.jpg,720,576
lymp,345,435,57,56,lisc_lymp_110.jpg,720,576
lymp,319,82,56,59,lisc_lymp_111.jpg,720,576
lymp,68,258,82,70,lisc_lymp_112.jpg,720,576
lymp,362,5,60,46,lisc_lymp_113.jpg,720,576
lymp,325,215,64,69,lisc_lymp_114.jpg,720,576
lymp,324,295,68,66,lisc_lymp_115.jpg,720,576
lymp,366,251,68,70,lisc_lymp_116.jpg,720,576
lymp,286,251,70,73,lisc_lymp_117.jpg,720,576
lymp,401,360,62,61,lisc_lymp_118.jpg,720,576
lymp,250,155,62,62,lisc_lymp_119.jpg,720,576
lymp,420,335,72,69,lisc_lymp_12.jpg,720,576
lymp,225,331,66,56,lisc_lymp_120.jpg,720,576
lymp,424,186,70,58,lisc_lymp_121.jpg,720,576
lymp,316,273,62,67,lisc_lymp_122.jpg,720,576
lymp,343,238,59,63,lisc_lymp_123.jpg,720,576
lymp,308,245,64,59,lisc_lymp_124.jpg,720,576
lymp,347,272,63,59,lisc_lymp_125.jpg,720,576
lymp,269,395,78,78,lisc_lymp_126.jpg,720,576
lymp,327,495,75,76,lisc_lymp_127.jpg,720,576
lymp,379,101,70,78,lisc_lymp_128.jpg,720,576
lymp,173,200,78,69,lisc_lymp_129.jpg,720,576
lymp,233,367,81,92,lisc_lymp_13.jpg,720,576
lymp,468,305,81,75,lisc_lymp_130.jpg,720,576
lymp,574,231,36,43,lisc_lymp_131.jpg,720,576
lymp,36,306,60,68,lisc_lymp_132.jpg,720,576
lymp,623,200,59,65,lisc_lymp_133.jpg,720,576
lymp,274,0,59,24,lisc_lymp_134.jpg,720,576
lymp,385,550,64,26,lisc_lymp_135.jpg,720,576
lymp,90,350,61,72,lisc_lymp_136.jpg,720,576
lymp,571,158,59,73,lisc_lymp_137.jpg,720,576
lymp,319,2,79,80,lisc_lymp_138.jpg,720,576
lymp,228,16,72,64,lisc_lymp_139.jpg,720,576
lymp,401,161,79,69,lisc_lymp_14.jpg,720,576
lymp,420,496,69,61,lisc_lymp_140.jpg,720,576
lymp,74,154,59,62,lisc_lymp_141.jpg,720,576
lymp,485,39,63,64,lisc_lymp_141.jpg,720,576
lymp,174,475,57,60,lisc_lymp_142.jpg,720,576
lymp,584,356,65,66,lisc_lymp_142.jpg,720,576
lymp,432,1,59,56,lisc_lymp_143.jpg,720,576
lymp,546,412,60,64,lisc_lymp_143.jpg,720,576
lymp,112,98,66,60,lisc_lymp_144.jpg,720,576
lymp,223,519,66,53,lisc_lymp_144.jpg,720,576
lymp,318,504,61,66,lisc_lymp_145.jpg,720,576
lymp,347,5,53,65,lisc_lymp_146.jpg,720,576
lymp,80,249,67,56,lisc_lymp_147.jpg,720,576
lymp,574,267,71,67,lisc_lymp_148.jpg,720,576
lymp,469,347,69,79,lisc_lymp_149.jpg,720,576
lymp,239,345,75,70,lisc_lymp_15.jpg,720,576
lymp,51,354,64,60,lisc_lymp_150.jpg,720,576
lymp,606,162,62,62,lisc_lymp_151.jpg,720,576
lymp,234,0,61,43,lisc_lymp_152.jpg,720,576
lymp,427,536,61,40,lisc_lymp_153.jpg,720,576
lymp,144,275,66,82,lisc_lymp_154.jpg,720,576
lymp,508,213,70,87,lisc_lymp_155.jpg,720,576
lymp,290,72,79,64,lisc_lymp_156.jpg,720,576
lymp,350,433,85,71,lisc_lymp_157.jpg,720,576
lymp,295,248,83,79,lisc_lymp_158.jpg,720,576
lymp,344,250,78,78,lisc_lymp_159.jpg,720,576
lymp,311,255,66,72,lisc_lymp_16.jpg,720,576
lymp,180,149,70,83,lisc_lymp_160.jpg,720,576
lymp,321,226,82,74,lisc_lymp_161.jpg,720,576
lymp,318,272,79,79,lisc_lymp_162.jpg,720,576
lymp,110,301,39,45,lisc_lymp_163.jpg,720,576
lymp,373,498,46,43,lisc_lymp_164.jpg,720,576
lymp,305,34,38,42,lisc_lymp_165.jpg,720,576
lymp,589,382,59,66,lisc_lymp_166.jpg,720,576
lymp,607,310,60,58,lisc_lymp_166.jpg,720,576
lymp,308,305,68,69,lisc_lymp_167.jpg,720,576
lymp,341,200,68,73,lisc_lymp_168.jpg,720,576
lymp,272,234,73,73,lisc_lymp_169.jpg,720,576
lymp,346,248,66,72,lisc_lymp_17.jpg,720,576
lymp,379,271,66,71,lisc_lymp_170.jpg,720,576
lymp,220,398,81,64,lisc_lymp_171.jpg,720,576
lymp,620,220,68,80,lisc_lymp_172.jpg,720,576
lymp,33,280,73,80,lisc_lymp_173.jpg,720,576
lymp,353,546,79,30,lisc_lymp_174.jpg,720,576
lymp,292,0,75,32,lisc_lymp_175.jpg,720,576
lymp,279,487,87,82,lisc_lymp_176.jpg,720,576
lymp,349,5,82,80,lisc_lymp_177.jpg,720,576
lymp,75,217,81,78,lisc_lymp_178.jpg,720,576
lymp,561,287,84,78,lisc_lymp_179.jpg,720,576
lymp,324,238,68,65,lisc_lymp_18.jpg,720,576
lymp,148,210,78,66,lisc_lymp_180.jpg,720,576
lymp,292,155,72,73,lisc_lymp_180.jpg,720,576
lymp,358,345,64,73,lisc_lymp_181.jpg,720,576
lymp,494,298,75,67,lisc_lymp_181.jpg,720,576
lymp,423,109,78,69,lisc_lymp_182.jpg,720,576
lymp,373,75,65,73,lisc_lymp_183.jpg,720,576
lymp,416,225,78,66,lisc_lymp_183.jpg,720,576
lymp,225,286,79,66,lisc_lymp_184.jpg,720,576
lymp,281,427,66,69,lisc_lymp_184.jpg,720,576
lymp,485,303,71,71,lisc_lymp_185.jpg,720,576
lymp,163,203,68,66,lisc_lymp_186.jpg,720,576
lymp,268,418,75,68,lisc_lymp_187.jpg,720,576
lymp,376,88,69,69,lisc_lymp_188.jpg,720,576
lymp,636,248,59,68,lisc_lymp_189.jpg,720,576
lymp,331,273,74,66,lisc_lymp_19.jpg,720,576
lymp,23,256,61,72,lisc_lymp_190.jpg,720,576
lymp,491,266,61,58,lisc_lymp_191.jpg,720,576
lymp,173,254,56,61,lisc_lymp_192.jpg,720,576
lymp,442,338,89,76,lisc_lymp_193.jpg,720,576
lymp,326,423,62,53,lisc_lymp_194.jpg,720,576
lymp,336,98,58,59,lisc_lymp_195.jpg,720,576
lymp,190,190,66,67,lisc_lymp_196.jpg,720,576
lymp,466,318,59,69,lisc_lymp_197.jpg,720,576
lymp,389,119,65,63,lisc_lymp_198.jpg,720,576
lymp,261,392,70,59,lisc_lymp_199.jpg,720,576
lymp,188,162,90,72,lisc_lymp_2.jpg,720,576
lymp,581,251,52,49,lisc_lymp_20.jpg,720,576
lymp,581,316,84,77,lisc_lymp_200.jpg,720,576
lymp,56,187,75,70,lisc_lymp_201.jpg,720,576
lymp,257,513,72,63,lisc_lymp_202.jpg,720,576
lymp,388,0,72,59,lisc_lymp_203.jpg,720,576
lymp,83,274,61,49,lisc_lymp_21.jpg,720,576
lymp,345,507,48,53,lisc_lymp_22.jpg,720,576
lymp,327,13,47,54,lisc_lymp_23.jpg,720,576
lymp,407,119,85,83,lisc_lymp_24.jpg,720,576
