label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
neut,290,263,94,88,lisc_neut_1.jpg,720,576
neut,379,139,88,103,lisc_neut_10.jpg,720,576
neut,520,386,84,85,lisc_neut_100.jpg,720,576
neut,276,344,86,92,lisc_neut_101.jpg,720,576
neut,116,95,82,91,lisc_neut_102.jpg,720,576
neut,174,447,94,86,lisc_neut_103.jpg,720,576
neut,456,40,88,88,lisc_neut_104.jpg,720,576
neut,224,264,95,95,lisc_neut_105.jpg,720,576
neut,401,218,90,91,lisc_neut_106.jpg,720,576
neut,287,152,95,95,lisc_neut_107.jpg,720,576
neut,334,327,96,93,lisc_neut_108.jpg,720,576
neut,255,312,74,80,lisc_neut_109.jpg,720,576
neut,247,332,89,98,lisc_neut_11.jpg,720,576
neut,391,181,73,83,lisc_neut_110.jpg,720,576
neut,255,186,83,66,lisc_neut_111.jpg,720,576
neut,334,219,91,94,lisc_neut_112.jpg,720,576
neut,357,138,82,91,lisc_neut_113.jpg,720,576
neut,383,322,83,71,lisc_neut_114.jpg,720,576
neut,437,370,85,89,lisc_neut_115.jpg,720,576
neut,194,117,91,82,lisc_neut_116.jpg,720,576
neut,188,365,87,84,lisc_neut_117.jpg,720,576
neut,447,124,85,85,lisc_neut_118.jpg,720,576
neut,248,328,75,104,lisc_neut_119.jpg,720,576
neut,212,222,101,95,lisc_neut_12.jpg,720,576
neut,391,142,78,107,lisc_neut_120.jpg,720,576
neut,215,179,101,75,lisc_neut_121.jpg,720,576
neut,401,319,105,81,lisc_neut_122.jpg,720,576
neut,348,165,88,103,lisc_neut_123.jpg,720,576
neut,295,219,89,96,lisc_neut_124.jpg,720,576
neut,289,312,88,98,lisc_neut_125.jpg,720,576
neut,378,278,107,84,lisc_neut_126.jpg,720,576
neut,237,216,103,85,lisc_neut_127.jpg,720,576
neut,127,334,92,87,lisc_neut_128.jpg,720,576
neut,503,152,91,85,lisc_neut_129.jpg,720,576
neut,316,351,88,78,lisc_neut_13.jpg,720,576
neut,223,53,86,91,lisc_neut_130.jpg,720,576
neut,405,434,83,86,lisc_neut_131.jpg,720,576
neut,432,254,83,95,lisc_neut_132.jpg,720,576
neut,202,221,86,100,lisc_neut_133.jpg,720,576
